context,description,type,placeholders,en,de,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,nl
blueberry,,text,,Blueberry,Blaubeere,Arándano,Myrtille,Mirtillo,ブルーベリー,블루베리,Jagoda,Mirtilo,Черника,บลูเบอร์รี่,Yaban mersini,Чорниця,蓝莓,Bosbes
notifications,,text,,Notifications,Benachrichtigungen,Notificaciones,Notifications,Notifiche,通知,알림,Powiadomienia,Notificações,Уведомления,การแจ้งเตือน,Bildirimler,Сповіщення,通知,Meldingen
mods,,text,,Mods,Modifikationen,Modificaciones,Mods,Mod,改造,모드,Mody,Modificações,Моды,ม็อด,Modlar,Моди,模组,Mods
id,,text,,Id,Ausweis,Identificación,Identifiant,Id,ID,ID,ID,Eu ia,Идентификатор,รหัส,İD,ID,ID,ID kaart
name,,text,,Name,Name,Nombre,Nom,Nome,名前,이름,Nazwa,Nome,Имя,ชื่อ,İsim,Ім'я,姓名,Naam
version,,text,,Version,Ausführung,Versión,Version,Versione,バージョン,버전,Wersja,Versão,Версия,เวอร์ชัน,Sürüm,Версія,版本,Versie
misc,,text,,Misc,Sonstiges,Varios,Divers,Varie,その他,기타,Różne,Diversos,Разное,อื่น ๆ,Çeşitli,Різне,杂项,Diversen
science,,text,,Science,Wissenschaft,Ciencia,Science,Scienza,科学,과학,Nauka,Ciência,Наука,ศาสตร์,Bilim,Наука,科学,Wetenschap
timberFileIcon,,text,,"<i class=""fa-solid fa-file""></i> Get file icon for .timber","<i class=""fa-solid fa-file""></i> Dateisymbol für .timber abrufen","<i class=""fa-solid fa-file""></i> Obtener icono de archivo para .timber","<i class=""fa-solid fa-file""></i> Obtenir l'icône du fichier pour .timber","<i class=""fa-solid fa-file""></i> Ottieni l'icona del file per .timber","<i class=""fa-solid fa-file""></i> .timber のファイル アイコンを取得","<i class=""fa-solid fa-file""></i> .timber용 파일 아이콘 가져오기","<i class=""fa-solid fa-file""></i> Pobierz ikonę pliku dla .timber","<i class=""fa-solid fa-file""></i> Obtenha o ícone do arquivo para .timber","<i class=""fa-solid fa-file""></i> Получить значок файла для .timber","<i class=""fa-solid fa-file""></i> รับไอคอนไฟล์สำหรับ .timber","<i class=""fa-solid fa-file""></i> .timber için dosya simgesini alın","<i class=""fa-solid fa-file""></i> Отримати піктограму файлу для .timber","<i class=""fa-solid fa-file""></i> 获取 .timber 的文件图标","<i class=""fa-solid fa-file""></i> Bestandspictogram ophalen voor .timber"
alertInstall,,text,,Installing a file icon requires registry editing which can be dangerous. Please read README.md carefully and follow its instructions.,"Die Installation eines Dateisymbols erfordert eine Bearbeitung der Registrierung, was gefährlich sein kann. Bitte lesen Sie README.md sorgfältig durch und befolgen Sie die Anweisungen.","La instalación de un icono de archivo requiere edición del registro, lo que puede ser peligroso. Lea atentamente README.md y siga sus instrucciones.","L'installation d'une icône de fichier nécessite une modification du registre, ce qui peut être dangereux. Veuillez lire attentivement README.md et suivre ses instructions.",L'installazione di un'icona di file richiede la modifica del registro che può essere pericolosa. Si prega di leggere attentamente README.md e seguire le sue istruzioni.,ファイル アイコンをインストールするにはレジストリの編集が必要であり、危険を伴う可能性があります。 README.mdをよく読み、その指示に従ってください。,파일 아이콘을 설치하려면 레지스트리 편집이 필요하므로 위험할 수 있습니다. README.md를 주의 깊게 읽고 지침을 따르십시오.,"Zainstalowanie ikony pliku wymaga edycji rejestru, co może być niebezpieczne. Przeczytaj uważnie plik README.md i postępuj zgodnie z zawartymi w nim instrukcjami.","A instalação de um ícone de arquivo requer edição do registro, o que pode ser perigoso. Por favor, leia README.md com atenção e siga suas instruções.","Установка значка файла требует редактирования реестра, что может быть опасно. Пожалуйста, внимательно прочитайте README.md и следуйте его инструкциям.",การติดตั้งไอคอนไฟล์จำเป็นต้องมีการแก้ไขรีจิสทรีซึ่งอาจเป็นอันตรายได้ โปรดอ่าน README.md อย่างละเอียดและปฏิบัติตามคำแนะนำ,"Bir dosya simgesi yüklemek, tehlikeli olabilecek kayıt defteri düzenlemesini gerektirir. Lütfen README.md dosyasını dikkatlice okuyun ve talimatlarını izleyin.","Встановлення піктограми файлу вимагає редагування реєстру, що може бути небезпечним. Будь ласка, уважно прочитайте README.md і дотримуйтесь інструкцій.",安装文件图标需要编辑注册表，这可能很危险。请仔细阅读 README.md 并按照其说明进行操作。,"Voor het installeren van een bestandspictogram zijn registerbewerkingen vereist, wat gevaarlijk kan zijn. Lees README.md aandachtig en volg de instructies."
(orDragNDrop),,text,,(Or drag and drop),(Oder per Drag & Drop),(O arrastrar y soltar),(Ou glisser-déposer),(Oppure trascina e rilascia),(またはドラッグアンドドロップ),(또는 드래그 앤 드롭),(Lub przeciągnij i upuść),(Ou arraste e solte),(Или перетащите),(หรือลากและวาง),(Ya da sürükleyip bırakın),(Або перетягнути),（或拖放）,(Of slepen en neerzetten)
pleaseSelectTimber,,text,,Please select a valid .timber file,Bitte wählen Sie eine gültige .timber-Datei aus,Seleccione un archivo .timber válido,Veuillez sélectionner un fichier .timber valide,Seleziona un file .timber valido,有効な .timber ファイルを選択してください,유효한 .timber 파일을 선택하세요.,Wybierz prawidłowy plik .timber,Selecione um arquivo .timber válido,"Пожалуйста, выберите действительный файл .timber",โปรดเลือกไฟล์ .timber ที่ถูกต้อง,Lütfen geçerli bir .timber dosyası seçin,Виберіть дійсний файл .timber,请选择有效的 .timber 文件,Selecteer een geldig .timber-bestand
energy,,text,,Energy,Energie,Energía,Énergie,Energia,エネルギー,에너지,Energia,Energia,Энергия,พลังงาน,Enerji,Енергія,活力,Energie
